Temp high,Temp avg,Temp low,Humidity high,Humidity avg,lHumidity ow,Wind high,Wind avg,Wind high
19,11,2,100,76,28,11,5,0
18,11,4,100,75,40,19,6,0
22,16,9,94,74,46,21,8,0
21,13,7,94,75,41,23,6,0
17,13,8,100,74,36,52,19,77
21,13,6,100,75,33,14,5,0
22,13,5,100,80,40,14,3,0
23,13,4,100,79,34,13,3,0
24,14,4,94,78,38,19,3,0
23,16,7,94,61,26,16,5,0
18,14,9,88,75,49,10,5,0
16,13,11,94,92,74,21,6,0
19,13,7,100,82,52,21,5,39
17,13,10,100,79,52,34,14,0
17,12,7,100,82,42,21,8,0
22,13,4,100,84,43,23,3,0
17,12,7,100,92,82,11,5,0
20,16,11,94,65,36,27,13,42
17,13,9,100,73,45,47,14,69
14,11,8,94,73,51,60,24,71
16,11,7,94,77,48,34,14,52
16,12,8,100,83,57,14,6,0
13,12,10,100,93,77,24,10,32
16,11,7,100,83,59,39,11,53
17,12,8,94,84,66,26,16,0
19,16,12,100,85,62,27,11,0
18,14,10,94,79,60,42,18,58
16,13,10,82,57,42,37,29,52
17,12,7,100,76,51,26,13,0
15,11,8,100,80,50,29,13,0
15,9,4,98,81,56,21,10,0
16,11,5,100,82,49,13,6,0
14,9,3,94,69,37,32,18,0
16,8,0,94,77,34,19,5,0
17,11,5,94,77,41,23,8,0
21,13,6,93,76,35,29,6,0
24,17,11,94,81,50,19,6,0
17,13,8,100,73,49,48,18,66
19,10,2,95,65,27,29,10,0
22,17,12,94,76,36,35,11,0
16,12,8,94,78,51,58,19,85
14,11,7,93,65,44,42,26,58
17,12,7,100,87,59,27,13,0
22,14,7,100,83,56,29,11,45
26,19,11,94,74,40,16,10,0
26,18,9,94,73,33,13,5,0
23,18,12,94,56,20,23,11,0
19,13,7,100,91,74,13,6,0
18,14,11,100,77,25,40,14,40
14,12,11,100,93,82,19,11,0
17,13,9,99,84,45,37,10,0
19,12,4,100,82,52,24,8,0
14,10,7,100,94,76,24,5,0
18,10,2,100,82,46,27,5,0
21,12,4,100,77,32,23,6,0
17,13,9,100,82,61,29,14,0
18,12,6,94,83,52,24,8,0
15,11,7,96,78,44,24,11,0
19,13,6,93,69,37,42,13,58
17,13,9,100,87,66,42,14,58
18,15,12,100,87,63,40,19,61
20,16,12,94,77,63,63,23,89
16,12,9,82,61,40,58,26,77
17,13,9,94,75,53,34,19,40
17,12,8,100,80,46,26,8,0
17,11,5,100,86,56,21,8,0
18,10,2,93,76,38,32,8,0
17,9,2,100,81,50,27,6,0
17,9,2,100,83,58,16,5,0
17,11,5,100,83,52,148,6,0
17,9,2,100,82,55,35,10,0
16,13,10,94,89,66,29,10,37
13,12,11,100,93,88,40,27,55
15,12,10,100,90,77,23,13,0
19,12,5,100,77,35,19,8,0
22,13,5,94,76,35,21,5,0
24,14,5,100,76,36,21,3,0
20,13,7,94,88,64,19,5,0
19,15,10,100,87,65,14,5,0
18,13,9,100,90,68,19,6,0
23,14,5,100,81,45,19,3,0
18,13,8,94,74,43,27,11,0
21,11,2,100,67,18,16,6,32
18,12,6,93,64,37,42,18,50
13,10,8,96,82,32,40,19,60
17,12,7,100,78,48,34,14,52
23,13,4,100,57,18,35,10,37
23,18,14,88,46,18,40,16,60
16,13,10,100,89,70,16,8,0
21,13,5,100,82,34,21,6,0
28,17,6,94,59,24,21,8,0
27,22,18,59,26,14,53,26,84
19,16,12,94,79,56,37,13,48
19,15,11,94,71,50,60,31,87
20,15,10,94,76,59,42,18,0
23,14,6,94,76,42,19,2,0
25,16,7,100,75,36,21,3,0
28,18,7,100,71,29,16,2,0
22,16,9,100,87,60,21,3,0
21,14,8,100,89,68,14,3,0
27,18,8,100,78,35,19,2,0
28,20,13,94,73,35,24,6,0
22,17,13,100,86,60,21,5,0
24,17,11,100,79,41,35,8,0
23,16,8,100,83,60,21,3,0
23,17,11,100,81,41,16,3,0
23,16,7,100,76,43,23,3,0
25,16,7,100,69,28,21,3,0
29,19,9,94,73,30,29,5,0
24,19,12,100,64,33,34,14,0
25,18,10,94,69,31,29,6,0
22,18,13,95,78,53,35,8,39
24,17,8,100,74,37,21,6,0
26,17,8,100,71,34,16,3,0
21,16,11,94,60,32,47,19,71
23,16,8,88,57,29,29,10,0
24,17,9,94,77,49,35,8,0
24,16,7,94,80,51,24,5,0
28,18,9,100,68,27,21,3,0
26,18,11,100,80,47,23,5,0
25,18,10,100,78,39,29,5,0
24,17,9,100,81,34,24,5,0
22,16,9,94,77,44,23,5,0
24,16,7,94,68,25,21,5,0
23,14,6,100,73,38,23,6,0
24,16,6,100,79,39,14,5,0
23,17,11,100,88,64,19,5,0
23,19,16,100,83,48,23,5,0
26,20,14,96,78,39,19,3,0
27,19,12,94,76,42,16,3,0
26,19,12,100,85,57,21,6,0
27,21,14,100,80,51,16,5,0
23,19,14,100,89,68,32,6,0
22,17,11,100,66,32,45,21,0
22,15,8,87,57,25,37,11,0
22,15,8,82,57,33,34,13,0
20,14,9,94,83,51,19,3,0
22,19,16,100,87,70,23,8,0
24,18,11,100,78,44,19,3,0
29,21,13,100,77,32,23,5,0
26,20,14,100,71,35,26,8,0
26,19,12,94,62,22,29,8,0
23,16,9,100,69,30,23,5,0
24,16,8,94,78,48,42,8,0
24,20,15,100,77,47,27,6,0
23,17,11,100,83,54,16,3,0
23,17,11,100,83,61,27,8,0
24,20,15,94,75,44,26,10,0
24,19,13,100,76,40,39,11,0
31,20,9,100,61,21,24,5,0
25,18,11,100,79,47,40,11,0
19,17,15,100,93,83,32,14,0
17,16,14,100,94,84,32,8,0
25,19,12,100,82,56,16,6,0
33,22,12,100,62,20,24,5,0
31,22,14,94,59,24,21,6,0
33,25,17,88,61,25,16,6,0
29,22,16,94,61,31,23,8,0
27,22,16,100,75,35,23,8,0
26,21,17,100,84,62,21,11,0
26,21,16,100,84,65,23,6,0
28,23,18,100,82,56,19,8,0
28,23,19,94,83,61,23,8,0
29,23,17,97,75,40,21,8,0
32,23,16,100,60,26,19,6,0
28,22,15,94,75,45,35,10,0
26,22,18,100,75,45,27,18,40
26,20,13,94,74,43,26,10,0
30,21,13,94,69,26,23,6,0
31,22,14,100,73,30,23,6,0
32,26,18,94,71,35,21,11,0
28,24,20,94,79,48,26,10,0
29,23,18,94,67,29,23,8,0
27,22,17,94,74,48,23,10,0
28,23,18,94,77,50,27,11,0
28,21,14,94,66,37,27,11,0
29,22,15,94,72,33,26,10,0
31,23,14,94,66,29,32,10,0
33,25,17,94,68,37,23,6,0
34,27,19,94,65,20,37,13,0
29,23,18,94,74,43,23,8,0
32,23,15,94,58,22,26,8,0
32,24,17,88,61,15,27,8,0
28,23,19,94,76,53,26,10,0
29,24,19,88,68,38,23,10,0
31,23,15,100,66,31,24,6,0
31,23,16,94,64,21,21,8,0
31,26,19,83,60,30,27,10,0
30,23,17,94,75,44,26,8,0
29,23,17,94,76,39,32,10,0
29,23,17,94,69,37,23,10,0
30,23,16,94,66,33,19,6,0
31,23,14,94,65,30,21,6,0
31,24,18,100,71,34,16,6,0
32,24,17,94,72,38,23,8,0
32,25,18,94,72,41,32,8,0
33,24,17,94,67,27,29,10,0
33,26,17,94,66,33,23,6,0
41,29,18,94,48,13,32,8,0
35,29,24,83,54,16,23,8,39
33,27,21,73,48,23,34,13,0
29,23,16,94,67,40,21,8,0
31,24,17,94,70,30,16,8,0
35,25,15,94,55,15,16,5,0
32,26,18,89,67,37,24,6,0
32,28,23,94,74,48,26,11,0
31,27,23,95,84,60,21,10,0
32,27,22,94,75,41,24,10,0
32,24,18,94,78,55,21,8,0
31,27,22,96,79,49,26,11,0
31,26,21,94,67,32,19,13,0
33,24,16,88,55,24,16,5,0
33,26,19,94,67,27,23,6,0
34,28,21,94,68,34,42,10,45
33,24,16,94,68,29,24,8,0
32,27,21,94,82,59,21,10,0
30,27,23,94,80,57,23,8,0
31,24,19,94,76,49,19,6,0
34,26,18,94,65,30,21,6,0
38,28,18,94,51,18,23,6,0
36,30,23,89,58,32,27,10,0
34,29,24,83,60,37,23,10,0
37,29,22,88,55,13,23,6,0
31,26,21,94,73,49,21,6,0
33,27,20,94,72,35,27,8,0
32,26,20,94,76,49,29,10,0
32,27,21,94,75,49,27,10,0
30,26,21,94,76,49,42,13,0
29,24,19,94,74,48,39,19,0
32,25,18,96,70,44,21,6,0
31,27,23,96,81,56,21,14,0
31,26,22,95,66,29,23,6,0
33,24,16,83,57,20,19,6,0
33,25,17,88,50,20,21,6,0
31,27,22,89,60,30,24,10,0
32,26,19,94,73,48,32,11,0
32,24,17,94,69,33,24,6,0
32,24,18,94,73,40,19,6,0
38,28,18,100,55,16,26,6,0
35,27,18,89,52,15,19,6,0
34,26,18,89,65,33,21,6,0
30,27,23,94,79,54,19,8,0
31,28,24,94,77,46,23,8,0
31,26,21,94,68,33,21,8,0
34,26,18,83,59,21,19,5,0
35,27,19,89,67,23,24,6,0
33,27,20,94,63,34,19,6,0
31,26,21,89,66,41,23,8,0
31,26,20,88,69,33,21,5,0
33,26,18,83,60,25,19,6,0
33,28,23,83,58,30,26,11,0
33,28,23,83,71,39,24,10,0
31,28,23,89,75,49,29,11,0
35,27,19,94,59,13,35,10,0
34,27,19,69,50,20,27,10,0
31,24,18,83,60,30,23,6,0
32,25,18,88,64,36,24,6,0
34,27,19,78,54,14,26,6,0
34,26,18,79,59,27,45,8,64
33,28,23,83,58,29,24,13,39
31,26,21,83,67,40,23,10,0
29,26,23,89,68,51,32,13,53
32,28,23,79,63,33,24,6,0
32,28,24,89,63,36,23,10,0
32,28,23,83,61,39,26,8,0
30,24,18,94,66,30,27,11,0
28,23,17,88,68,37,19,6,26
29,23,18,83,69,44,27,8,0
28,23,18,88,69,46,45,16,0
29,24,19,78,65,44,34,16,0
28,24,20,88,67,47,26,11,39
30,25,20,88,70,47,23,11,0
34,27,21,94,70,32,29,10,0
32,26,19,94,75,34,26,8,0
29,24,20,94,83,63,24,8,0
24,21,17,100,88,63,50,10,82
26,22,18,94,84,57,23,10,0
27,22,16,100,79,43,19,6,0
32,23,14,100,69,18,21,3,0
27,22,17,94,79,54,16,8,0
32,24,16,100,80,37,21,5,0
29,23,17,100,72,20,19,5,0
28,21,14,94,70,30,16,5,0
29,22,16,94,74,34,16,6,0
32,27,21,94,60,30,53,8,42
26,22,18,94,75,41,29,10,0
23,19,16,89,78,60,37,11,0
23,19,14,94,76,47,32,11,0
27,19,11,94,74,25,19,5,0
33,22,12,100,63,20,21,6,0
34,24,14,88,55,16,19,5,0
34,24,14,82,54,16,19,5,0
33,23,13,88,60,17,14,3,0
29,21,12,88,65,26,19,5,0
26,21,17,88,73,51,42,14,0
24,18,11,94,71,37,16,5,0
26,18,10,94,69,29,16,3,0
28,18,8,94,64,13,19,3,0
31,21,11,88,59,20,34,6,0
30,20,11,94,71,30,26,6,0
25,18,11,94,78,42,19,5,0
27,18,10,94,74,30,23,6,0
27,18,8,94,62,23,29,6,0
24,16,7,88,66,30,23,6,0
24,17,9,88,71,39,26,6,0
27,17,8,94,71,33,171,6,0
27,18,8,94,74,32,19,5,0
26,18,10,94,66,21,27,10,48
19,15,11,88,64,38,32,14,0
18,14,10,94,83,47,24,14,0
21,15,9,94,83,59,39,11,58
24,19,14,94,79,47,16,6,0
19,16,13,94,86,69,26,6,0
14,13,12,100,92,82,10,5,0
20,16,12,94,76,41,14,5,0
22,18,14,94,71,44,34,14,42
25,18,11,94,79,52,16,6,0
26,18,11,100,78,41,13,2,0
21,17,12,94,81,54,35,10,0
20,14,9,94,75,45,24,6,0
21,14,8,100,79,43,21,5,0
21,16,10,96,82,42,13,5,0
24,16,7,100,83,46,11,3,0
31,20,10,100,63,18,27,6,0
31,22,13,82,52,22,14,3,0
28,21,14,59,32,13,35,10,0
26,23,20,64,30,13,37,23,55
23,20,17,77,49,29,34,18,34
24,19,14,88,69,36,16,8,0
22,17,12,94,76,44,14,3,0
25,17,9,94,62,31,29,11,0
23,20,17,56,44,27,34,19,50
22,20,17,83,54,37,58,21,80
19,17,14,73,56,37,32,13,52
17,14,12,100,76,41,29,13,52
16,13,12,100,90,76,23,10,0
20,15,10,100,84,47,13,6,0
19,14,9,100,80,46,29,8,50
17,13,10,94,78,52,23,11,0
17,13,8,93,74,47,29,11,48
14,11,8,93,81,50,27,14,0
16,11,6,93,77,51,23,11,0
14,11,8,88,68,32,52,21,82
14,11,8,94,67,39,45,31,64
16,11,6,93,77,48,16,10,0
20,11,2,100,78,33,11,3,0
22,12,3,100,66,31,21,3,0
16,14,12,67,44,28,40,18,0
21,15,9,93,60,32,21,11,0
13,11,8,94,88,76,19,10,0
18,13,8,100,87,60,24,8,0
16,12,8,100,87,65,21,8,0
19,14,9,100,88,56,13,6,0
19,13,7,100,86,55,16,5,0
18,13,8,100,86,49,13,3,0
20,11,3,100,86,42,16,3,0
20,11,3,100,79,36,14,3,0
20,11,2,100,78,38,13,3,0
17,10,2,100,86,52,11,5,0
17,11,5,97,85,60,13,8,0
18,11,4,93,79,50,29,10,0
16,13,10,94,77,57,48,19,69
8,7,6,100,93,87,27,8,0
12,8,5,93,78,43,34,13,50
14,10,6,100,79,47,35,13,0